,structure,exfoliation_en
0,"Full Formula (Hf2 Si2 Te2)
Reduced Formula: HfSiTe
abc   :   3.667305   3.667305  27.311209
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Hf    0.407174  0.907174  0.265919  [0.0, 0.0, 0.0]
  1  Hf    0.907174  0.407174  0.111626  [0.0, 0.0, 0.0]
  2  Si    0.907174  0.907174  0.188772  [0.0, 0.0, 0.0]
  3  Si    0.407174  0.407174  0.188772  [0.0, 0.0, 0.0]
  4  Te    0.907174  0.407174  0.317053  [0.0, 0.0, 0.0]
  5  Te    0.407174  0.907174  0.060492  [0.0, 0.0, 0.0]",63.593833333333016
1,"Full Formula (As4)
Reduced Formula: As
abc   :   3.701362   4.699617  25.441200
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (4)
  #  SP       a         b         c  velocities
---  ----  ----  --------  --------  ---------------
  0  As     0.5  0.931349  0.272399  [0.0, 0.0, 0.0]
  1  As     0    0.568651  0.272399  [0.0, 0.0, 0.0]
  2  As     0.5  0.068651  0.177312  [0.0, 0.0, 0.0]
  3  As    -0    0.431349  0.177312  [0.0, 0.0, 0.0]",134.86375000000007
2,"Full Formula (Ti2 Br2 O2)
Reduced Formula: TiBrO
abc   :   3.377602   4.042665  25.238364
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP      a    b         c  velocities
---  ----  ---  ---  --------  ---------------
  0  Ti    0    0.5  0.474389  [0.0, 0.0, 0.0]
  1  Ti    0.5  0    0.525611  [0.0, 0.0, 0.0]
  2  Br    0.5  0.5  0.396751  [0.0, 0.0, 0.0]
  3  Br    0    0    0.603249  [0.0, 0.0, 0.0]
  4  O     0    0    0.478647  [0.0, 0.0, 0.0]
  5  O     0.5  0.5  0.521353  [0.0, 0.0, 0.0]",43.11466666666686
3,"Full Formula (In2 Bi2)
Reduced Formula: InBi
abc   :   4.689404   4.689404  25.074031
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  In    0.511542  0.511542  0.101181  [0.0, 0.0, 0.0]
  1  In    0.011542  0.011542  0.101181  [0.0, 0.0, 0.0]
  2  Bi    0.011542  0.511542  0.180072  [0.0, 0.0, 0.0]
  3  Bi    0.511542  0.011542  0.02229   [0.0, 0.0, 0.0]",240.71548750000002
4,"Full Formula (Nb1 O2)
Reduced Formula: NbO2
abc   :   3.001645   3.001645  22.467047
angles:  90.000000  90.000000 120.000010
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Nb    0.333333  0.666667  0.116471  [0.0, 0.0, 0.0]
  1  O     0.666667  0.333333  0.063596  [0.0, 0.0, 0.0]
  2  O     0.666667  0.333333  0.169346  [0.0, 0.0, 0.0]",67.44283333333368
5,"Full Formula (Sb2 As2 O6)
Reduced Formula: SbAsO3
abc   :   4.485823   5.396512  19.504737
angles:  90.000000  90.717611  86.287086
pbc   :       True       True       True
Sites (10)
  #  SP            a         b         c  velocities
---  ----  ---------  --------  --------  ---------------
  0  Sb     0.483917  0.674845  0.017126  [0.0, 0.0, 0.0]
  1  Sb    -0.0084    0.174457  0.154035  [0.0, 0.0, 0.0]
  2  As     0.989235  0.241175  0.977104  [0.0, 0.0, 0.0]
  3  As     0.501234  0.740597  0.194098  [0.0, 0.0, 0.0]
  4  O      0.06084   0.550795  0.008407  [0.0, 0.0, 0.0]
  5  O      0.592714  0.325555  0.982148  [0.0, 0.0, 0.0]
  6  O      0.54141   0.562076  0.114925  [0.0, 0.0, 0.0]
  7  O      0.038202  0.061949  0.056236  [0.0, 0.0, 0.0]
  8  O      0.569442  0.050519  0.162883  [0.0, 0.0, 0.0]
  9  O      0.104173  0.825089  0.189097  [0.0, 0.0, 0.0]",66.30685000000014
6,"Full Formula (Mo2 O6)
Reduced Formula: MoO3
abc   :   3.696882   3.893860  28.497100
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a         b         c  velocities
---  ----  ----  --------  --------  ---------------
  0  Mo    0.25  0.431436  0.324004  [0.0, 0.0, 0.0]
  1  Mo    0.75  0.568564  0.21981   [0.0, 0.0, 0.0]
  2  O     0.25  0.466915  0.382591  [0.0, 0.0, 0.0]
  3  O     0.75  0.533085  0.161222  [0.0, 0.0, 0.0]
  4  O     0.25  0.497766  0.238833  [0.0, 0.0, 0.0]
  5  O     0.75  0.502234  0.30498   [0.0, 0.0, 0.0]
  6  O     0.25  0.981867  0.315661  [0.0, 0.0, 0.0]
  7  O     0.75  0.018133  0.228152  [0.0, 0.0, 0.0]",45.94237500000009
7,"Full Formula (Cr2 Ge2 Te6)
Reduced Formula: CrGeTe3
abc   :   6.898647   6.898647  23.444603
angles:  90.000000  90.000000 120.000003
pbc   :       True       True       True
Sites (10)
  #  SP            a          b         c  velocities
---  ----  ---------  ---------  --------  ---------------
  0  Te     0.373713   0.373709  0.147284  [0.0, 0.0, 0.0]
  1  Te    -4e-06      0.626287  0.147284  [0.0, 0.0, 0.0]
  2  Te     0.626291   4e-06     0.147284  [0.0, 0.0, 0.0]
  3  Te     0.626287   0.626291  0.999641  [0.0, 0.0, 0.0]
  4  Te     4e-06      0.373713  0.999641  [0.0, 0.0, 0.0]
  5  Te     0.373709  -4e-06     0.999641  [0.0, 0.0, 0.0]
  6  Cr     0.666667   0.333333  0.073463  [0.0, 0.0, 0.0]
  7  Cr     0.333333   0.666667  0.073462  [0.0, 0.0, 0.0]
  8  Ge    -0         -0         0.125048  [0.0, 0.0, 0.0]
  9  Ge    -0         -0         0.021877  [0.0, 0.0, 0.0]",89.47600000000034
8,"Full Formula (Zr2 Br2 N2)
Reduced Formula: ZrBrN
abc   :   3.658791   3.658791  30.340540
angles:  90.000000  90.000000 120.000003
pbc   :       True       True       True
Sites (6)
  #  SP            a          b         c  velocities
---  ----  ---------  ---------  --------  ---------------
  0  Zr    -0          0         0.123503  [0.0, 0.0, 0.0]
  1  Zr     0.666667   0.333333  0.209831  [0.0, 0.0, 0.0]
  2  Br     0.333333   0.666667  0.058157  [0.0, 0.0, 0.0]
  3  Br     0.333333   0.666667  0.275176  [0.0, 0.0, 0.0]
  4  N      0.666667   0.333333  0.137972  [0.0, 0.0, 0.0]
  5  N      0         -0         0.195361  [0.0, 0.0, 0.0]",36.73083333333338
9,"Full Formula (Pd2 Se2 O6)
Reduced Formula: PdSeO3
abc   :   3.943861   6.409045  26.262160
angles:  90.000000  96.040454  90.000000
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Pd    0.5       0         0.119224  [0.0, 0.0, 0.0]
  1  Pd    0.5       0.5       0.119224  [0.0, 0.0, 0.0]
  2  Se    0.951344  0.25      0.041504  [0.0, 0.0, 0.0]
  3  Se    0.048656  0.75      0.196944  [0.0, 0.0, 0.0]
  4  O     0.209484  0.036254  0.050914  [0.0, 0.0, 0.0]
  5  O     0.209484  0.463746  0.050914  [0.0, 0.0, 0.0]
  6  O     0.787854  0.25      0.104757  [0.0, 0.0, 0.0]
  7  O     0.212146  0.75      0.133691  [0.0, 0.0, 0.0]
  8  O     0.790516  0.963746  0.187534  [0.0, 0.0, 0.0]
  9  O     0.790516  0.536254  0.187534  [0.0, 0.0, 0.0]",76.13090000000078
